,nav
2024-01-01,0.9985002498750625
2024-01-02,0.9951896045768616
2024-01-03,1.0034962326269634
2024-01-04,0.9898393871397152
2024-01-05,0.9765553851008127
2024-01-08,0.9558805134729423
2024-01-09,0.9524804847759872
2024-01-10,0.9375592455974708
2024-01-11,0.9190679607963158
2024-01-12,0.9148703390215583
2024-01-15,0.9295602596316845
2024-01-16,0.9243768139151606
2024-01-17,0.9162316479903119
2024-01-18,0.9138632948676167
2024-01-19,0.9326373372437066
2024-01-22,0.9216544809012127
2024-01-23,0.8856213145873432
2024-01-24,0.859394937925534
2024-01-25,0.8501789567250008
2024-01-26,0.8568945300784243
2024-01-29,0.8528543304674392
2024-01-30,0.8513389318263814
2024-01-31,0.8471327064564274
2024-02-01,0.8495204916237907
2024-02-02,0.8405524903535164
2024-02-05,0.8402829448845323
2024-02-06,0.8504213612828952
2024-02-07,0.8562635796889289
2024-02-08,0.8499682144166701
2024-02-09,0.8384159874396065
2024-02-12,0.8256013199535992
2024-02-13,0.8289848338870608
2024-02-14,0.8356408554849134
2024-02-15,0.8293898286256371
2024-02-16,0.8354505896674455
2024-02-19,0.845481234230101
2024-02-20,0.845983235635363
2024-02-21,0.8365877098954121
2024-02-22,0.8402271692698007
2024-02-23,0.8355158183324748
2024-02-26,0.8417296215188126
2024-02-27,0.840978433646822
2024-02-28,0.8403272826545246
2024-02-29,0.845352238711062
2024-03-01,0.8310281216580337
2024-03-04,0.8198036544268201
2024-03-05,0.867344865491166
2024-03-06,0.8759930473229535
2024-03-07,0.8730320559994343
2024-03-08,0.8821935695849326
2024-03-11,0.8832206195913318
2024-03-12,0.8770891769307234
2024-03-13,0.885604647468994
2024-03-14,0.8971055522427832
2024-03-15,0.8936067883801415
2024-03-18,0.8850282181786917
2024-03-19,0.9133777455884118
2024-03-20,0.9108142500228148
2024-03-21,0.8983324906384141
2024-03-22,0.8816982945320737
